author_name
Gabriel García Márquez
Isabel Allende
Olga Tokarczuk
Wisława Szymborska
Czesław Miłosz
Henryk Sienkiewicz
Stanisław Lem
Witold Gombrowicz
Bruno Schulz
Adam Mickiewicz
Isaac Bashevis Singer
Sholem Aleichem
S. Y. Agnon
Primo Levi
Italo Calvino
Umberto Eco
Elena Ferrante
Dante Alighieri
Giovanni Boccaccio
Petrarch
Niccolò Machiavelli
Luigi Pirandello
Giuseppe Tomasi di Lampedusa
Cesare Pavese
Alberto Moravia
Natalia Ginzburg
Elsa Morante
Italo Svevo
Dario Fo
Roberto Calasso
Roberto Saviano
Orhan Pamuk
Elif Shafak
Yaşar Kemal
Nâzım Hikmet
Nikos Kazantzakis
Homer
Sophocles
Euripides
Aeschylus
Sappho
Virgil
Ovid
Horace
Seneca
Plutarch
Søren Kierkegaard
Hans Christian Andersen
Karen Blixen
Isak Dinesen
Henrik Ibsen
Knut Hamsun
Sigrid Undset
Jo Nesbø
Karl Ove Knausgård
Astrid Lindgren
August Strindberg
Selma Lagerlöf
Tove Jansson
Mika Waltari
Halldór Laxness
László Krasznahorkai
Imre Kertész
Sándor Márai
Mircea Cărtărescu
Eugène Ionesco
Danilo Kiš
Ivo Andrić
Ismail Kadare
Svetlana Alexievich
Andrey Platonov
Haruki Murakami
Yukio Mishima
Natsume Soseki
Banana Yoshimoto
Ryunosuke Akutagawa
Yasunari Kawabata
Kenzaburō Ōe
Junichiro Tanizaki
Murasaki Shikibu
Sei Shōnagon
Kobo Abe
Osamu Dazai
Hiromi Kawakami
Sayaka Murata
Mieko Kawakami
Han Kang
Hwang Sok-yong
Cho Nam-joo
Kyung-sook Shin
Kim Young-ha
Liu Cixin
Jin Yong
Mo Yan
Lu Xun
Lao She
Ba Jin
Eileen Chang
Yu Hua
Can Xue
Qiu Xiaolong
Amy Tan
Maxine Hong Kingston
R. K. Narayan
Rabindranath Tagore
Arundhati Roy
Vikram Seth
Amitav Ghosh
Jhumpa Lahiri
Kiran Desai
Rohinton Mistry
Anita Desai
Mulk Raj Anand
Premchand
Saadat Hasan Manto
Ismat Chughtai
Bapsi Sidhwa
Kamila Shamsie
Mohsin Hamid
Nadeem Aslam
Khaled Hosseini
Elif Batuman
Naguib Mahfouz
Alaa Al Aswany
Tayeb Salih
Leila Aboulela
Hanan al-Shaykh
Nawal El Saadawi
Ahdaf Soueif
Ghassan Kanafani
Mahmoud Darwish
Adonis
Amin Maalouf
Kahlil Gibran
Rumi
Omar Khayyam
Ferdowsi
Hafez
Saadi Shirazi
Sadegh Hedayat
Forough Farrokhzad
Shahrnush Parsipur
Marjane Satrapi
Sabahattin Ali
Ahmet Hamdi Tanpınar
Bilge Karasu
Amos Oz
David Grossman
A. B. Yehoshua
Etgar Keret
Meir Shalev
Abraham Verghese
Viet Thanh Nguyen
Ocean Vuong
Nguyễn Du
Bao Ninh
Nguyễn Phan Quế Mai
Pramoedya Ananta Toer
Eka Kurniawan
Andrea Hirata
Tash Aw
Shamini Flint
Tan Twan Eng
Nick Joaquin
José Rizal
Lualhati Bautista
F. Sionil José
Miguel Syjuco
Ma Jian
Xue Xinran
Jung Chang
Yuval Noah Harari
Hannah Arendt
Simone Weil
Michel Foucault
Jacques Derrida
Roland Barthes
Edward Said
Noam Chomsky
Susan Sontag
Rebecca Solnit
bell hooks
Judith Butler
Mary Beard
Jared Diamond
Stephen Hawking
Carl Sagan
Richard Dawkins
Oliver Sacks
Atul Gawande
Malcolm Gladwell
Nassim Nicholas Taleb
Daniel Kahneman
Steven Pinker
Rachel Carson
Jane Goodall
Anne Frank
Viktor Frankl
Elie Wiesel
Thich Nhat Hanh
Laozi
Confucius
Sun Tzu
Marcus Aurelius
Plato
Aristotle
Herodotus
Thucydides
Mary Renault
Anne Rice
Neil Gaiman
Terry Pratchett
Douglas Adams
George R. R. Martin
Brandon Sanderson
Diana Wynne Jones
Philip Pullman
Roald Dahl
Beatrix Potter
Dr. Seuss
Theodor Seuss Geisel
Maurice Sendak
Shel Silverstein
Enid Blyton
Michael Ende
Cornelia Funke
Jostein Gaarder
Elena Fortún
Gloria Fuertes
Anonymous
Various Authors
